videoId,author,text,publishedAt,likeCount,search_keyword,video_title,cleaned_text,teks_bersih,teks_bersih_lower
b5ibmpuS0L4,@deadewi5904,Wah ini sih mobil kesukaan aku nih yang manual yang tahun 20024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,2025-06-06T09:37:47Z,0,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,sih mobil kesukaan nih manual nih warna putih terbaru nih suka banget nih mobilnya nih nama suka,Wah ini sih mobil kesukaan aku nih yang manual yang tahun 20024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu,wah ini sih mobil kesukaan aku nih yang manual yang tahun 20024 nih yang warna putih yang terbaru nih aku suka banget nih mobilnya nih nama aku suka dari dulu
b5ibmpuS0L4,@user-gs7ey4hs8k,Mobil Toyota Agya A,2025-04-15T13:18:52Z,0,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,mobil toyota agya a,Mobil Toyota Agya A,mobil toyota agya a
b5ibmpuS0L4,@aldiputra716,Harganya berapa ni bos,2025-03-04T13:54:29Z,0,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,harganya ni bos,Harganya berapa ni bos,harganya berapa ni bos
b5ibmpuS0L4,@wisnukeanuzen,Sayang banget buat videonya terlalu cepat...terlalu pendek untuk lihat interiornya...,2024-11-03T08:30:43Z,2,Mobil LCGC,Toyota Agya 2024 / Mobil LCGC Pilihan Keluarga / 5 seat / Jabodetabek / WA 085893595838 #automobile,sayang banget videonya cepatterlalu pendek lihat interiornya,Sayang banget buat videonya terlalu cepat...terlalu pendek untuk lihat interiornya...,sayang banget buat videonya terlalu cepat...terlalu pendek untuk lihat interiornya...
6b1MGWf2YmE,@xizedit7684,Lah emang berapa harga pasang plat begitu?,2025-06-08T10:11:37Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,emang harga pasang plat,Lah emang berapa harga pasang plat begitu?,lah emang berapa harga pasang plat begitu?
6b1MGWf2YmE,@AntonTampubolon-l1j,Di dubai udah disembah itu mah,2025-06-07T12:30:34Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,dubai udah disembah mah,Di dubai udah disembah itu mah,di dubai udah disembah itu mah
6b1MGWf2YmE,@buattrading5750,"Pas di tilang , cuma beli 150rb an sama tukang Plat 😂",2025-06-07T11:26:53Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,pas tilang beli rb an tukang plat,"Pas di tilang , cuma beli 150rb an sama tukang Plat ","pas di tilang , cuma beli 150rb an sama tukang plat "
6b1MGWf2YmE,@wandysyaputra-y6t,Buat apa tpi mobil kodok wkwkw,2025-06-06T11:44:26Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,tpi mobil kodok wkwkw,Buat apa tpi mobil kodok wkwkw,buat apa tpi mobil kodok wkwkw
6b1MGWf2YmE,@zte-cc4xb,"Wow mobil mu bagus ✖️

Wow plate mu bagus✔️",2025-06-05T12:20:19Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,wow mobil mu bagus wow plate mu bagus,"Wow mobil mu bagus 

Wow plate mu bagus","wow mobil mu bagus 

wow plate mu bagus"
6b1MGWf2YmE,@cacakin-dk2ky,tatataapi bangg 😂,2025-05-21T06:33:02Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,tatataapi bangg,tatataapi bangg ,tatataapi bangg 
6b1MGWf2YmE,@TugasOnline.,Gk peduli lebih kaya mana 😂 intinya mobil gua gtr r35 udah syukur & seneng hehe,2025-05-19T15:00:19Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,gk peduli kaya intinya mobil gua gtr r udah syukur seneng hehe,Gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe,gk peduli lebih kaya mana  intinya mobil gua gtr r35 udah syukur & seneng hehe
6b1MGWf2YmE,@vibesbillionaire,P by one(B1),2025-05-16T07:20:05Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,p by oneb,P by one(B1),p by one(b1)
6b1MGWf2YmE,@shofashowtv5247,"Orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama Plat Kendaraan.

😂😅 Hanya orang miskin yang menilai kekayaan dari nomor Plat.😅😂",2025-05-16T01:58:31Z,1,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,orang kaya saldo asetnya gak hubungan plat kendaraan orang miskin menilai kekayaan nomor plat,"Orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama Plat Kendaraan.

 Hanya orang miskin yang menilai kekayaan dari nomor Plat.","orang kaya dilihat dari saldo dan asetnya, gak ada hubungan sama sekali sama plat kendaraan.

 hanya orang miskin yang menilai kekayaan dari nomor plat."
6b1MGWf2YmE,@jakamaulanaputra1832,Nah ini asli,2025-05-11T02:41:47Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,asli,Nah ini asli,nah ini asli
6b1MGWf2YmE,@BaliDroneServices,Bukan Brio terbaru pula tuh. Itu kan Brio RS tahun 2018 ya? Astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,2025-05-10T08:23:44Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,brio terbaru tuh brio rs ya astagah mahalan pajak nopolnya drpd service bulanannya dikalikan ya,Bukan Brio terbaru pula tuh. Itu kan Brio RS tahun 2018 ya? Astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?,bukan brio terbaru pula tuh. itu kan brio rs tahun 2018 ya? astagah... mahalan pajak nopolnya drpd service bulanannya dikalikan 12 bulan ya?
6b1MGWf2YmE,@angel_bloodfallen,Udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,2025-05-06T03:53:27Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,udah lu tu kaya ga yg miskin bersyukurlah,Udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!,udah lah lu tu semua kaya ga ada yg miskin maka bersyukurlah !!!
6b1MGWf2YmE,@L44NG,NGGAK MAHAL KALO MASIH SAINGAN SAMA ORG SUSAH COBA KEDUBAI SAINGANNYA ORG BENERAN KAYA💀,2025-05-05T07:29:07Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,nggak mahal kalo saingan org susah coba kedubai saingannya org beneran kaya,NGGAK MAHAL KALO MASIH SAINGAN SAMA ORG SUSAH COBA KEDUBAI SAINGANNYA ORG BENERAN KAYA,nggak mahal kalo masih saingan sama org susah coba kedubai saingannya org beneran kaya
6b1MGWf2YmE,@Obelix-n8f,Gak mungkin,2025-05-05T06:42:17Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,gak,Gak mungkin,gak mungkin
6b1MGWf2YmE,@boykekhadafi5980,Mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio LCGC...😂😂😂😂😂😂😂,2025-05-04T11:41:52Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,plat nomor nya harga miliar g bs merubah mobil brio jd mobil koeniseg lambotetap aj brio lcgc,Mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio LCGC...,mau plat nomor nya harga 1 miliar pun g akan bs merubah mobil brio jd mobil koeniseg dan lambo...tetap aj rasa brio lcgc...
6b1MGWf2YmE,@sky_indonesia17,"MOBIL MOBIL NGEBUT TU GA COCOK BUAT DIJALAN PADAT DAN RAME, ENTAR MALAH NABRAK BISA-BISA",2025-05-04T07:08:57Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,mobil mobil ngebut tu ga cocok dijalan padat rame entar nabrak bisabisa,"MOBIL MOBIL NGEBUT TU GA COCOK BUAT DIJALAN PADAT DAN RAME, ENTAR MALAH NABRAK BISA-BISA","mobil mobil ngebut tu ga cocok buat dijalan padat dan rame, entar malah nabrak bisa-bisa"
6b1MGWf2YmE,@Neat_CH,kata sprot car : anjay bisa kek gitu ya,2025-05-03T01:24:53Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,sprot car anjay kek gitu ya,kata sprot car : anjay bisa kek gitu ya,kata sprot car : anjay bisa kek gitu ya
6b1MGWf2YmE,@dedikirawan6747,wow,2025-04-27T00:05:41Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,wow,wow,wow
6b1MGWf2YmE,@YoggiPramana,"Percuma kaya harta, tapi kalau MISKIN HATI😂😂😂",2025-04-25T08:08:34Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,kaya harta miskin hati,"Percuma kaya harta, tapi kalau MISKIN HATI","percuma kaya harta, tapi kalau miskin hati"
6b1MGWf2YmE,@monangsirait8044,Sama2 tol.ol😂😂,2025-04-25T02:13:05Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,tolol,Sama2 tol.ol,sama2 tol.ol
6b1MGWf2YmE,@Satriolanggengharyadi,Tetap R 1 = PRABOWO,2025-04-25T00:22:08Z,0,Mobil LCGC,PELAT TERMAHAL DI INDONESIA DI MOBIL LCGC? 🤣 (Honda Brio B 1) #exoticcarsbandung #shorts,r prabowo,Tetap R 1 = PRABOWO,tetap r 1 = prabowo
